2007-02-24 18:53:44.3750|LinuxWithin.GainWatch.Gain..ctor|Gain constructor
2007-02-24 18:53:44.4531|LinuxWithin.GainWatch.Campaign..ctor|There will be a total of 1 iterations.
2007-02-24 18:53:44.4843|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061114-063826.log
2007-02-24 18:53:44.5312|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:53:44.5937|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:53:44.5937|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:53:44.5937|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:53:46.6875|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:53:46.7187|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061115-063959.log
2007-02-24 18:53:46.7343|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:53:46.7343|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:53:46.7343|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:53:46.7500|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:53:48.5781|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:53:48.5781|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061116-010256.log
2007-02-24 18:53:48.5937|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:53:48.6093|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:53:48.6093|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:53:48.6093|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:53:51.1875|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:53:51.1875|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061117-061457.log
2007-02-24 18:53:51.2031|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
2007-02-24 18:53:51.2031|LinuxWithin.GainWatch.Plan.Reset|Reset(EndOfDay)
2007-02-24 18:53:51.2031|LinuxWithin.GainWatch.Plan.Reset|Reset(Wait10)
2007-02-24 18:53:51.2187|LinuxWithin.GainWatch.Quotes.Enable|Enable()ing the Quote engine
2007-02-24 18:53:53.3281|LinuxWithin.GainWatch.QuotesIBLogger.Enable|Finished reading file.
2007-02-24 18:53:53.3281|LinuxWithin.GainWatch.QuotesIBLogger..ctor|Quote Source: C:\IBLogger\YMDEC06-061119-232128.log
2007-02-24 18:53:53.3437|LinuxWithin.GainWatch.Strategy.Load|Load(C:\GainStar\IBPriceSlope.gws)
